message,label
【xxxx吃喝】您的验证码是178752，3分xxx。我司不会以任何名义收取会员费、服务费，请您谨防电信诈骗。有疑请拨打xxxxxxxx,0
xxx，顺畅出行新体验，xxxxxx。为了幸福而改变，就是我们的理想-中国移动。,1
尊敬的xxx！xxx.素专柜于x月x至x月x全场针织衫 裤子x折，正价满xxxx赠送背心一件，咨询电话xxxx-xxxxx,1
 美媒曝光xx地下空军:不可战胜[搜x]-xxxx冲浪助手:xxx,1
【xx】验证码为948917，您正在进行找回密码手机验证！,0
亲爱的家人们，xx养生馆明天闭馆一天回老家，另特意推出开年巨献活动，优惠多多，各位家人可咨询或帮忙介绍，xxx！诚祝:元宵节快乐,1
【xx证券】【模拟炒股】手机注册验证码：699912，请勿向任何人提供短信验证码。,0
备有各种厚度干面板片，干三级板片，保质保量，货源充足，大量现货。欢迎与方顺记xxxxxxxxxxx联系。祝合作愉快！xxx,1
亲们明日x号，xxx，【xxx】xxx，全场新货，有外套，有多种类型小衫，新款裤子…鞋…，很多款，亲们来店里看吧，绝对让你眼前闪亮，【xxxx楼，xxx号】,1
你好，我是[xx银行]信贷部小罗，做无抵押免担保信用贷款的，x_xxWxxx，放款快xxxxxxx，尽请保留。【xx】,1
【xxx】凡事都有专 业性，xxxxx年，xxx。xxx（教育书店）对面，电 话【xxxxxxx】,1
姐，我是刚给您打电话小凯，公司为庆祝新店开业与即将到的xxx共同举办大型装修团购会，到活动现场即送精美礼品，活动期间内签约享受海电器，全房水电改造，主材礼包免费赠送！另大包满一万再送xxxx主材款，详情进店咨询！地址:xxxx楼！小凯期待你的光临！德xx小凯个人电话xxxxxxxxxxx,1
【xx大作战】验证码:916366。此验证码仅用于忘记xx大作战用户名、密码后的找回操作，请妥善保管。如非本人操作请立即修改游戏密码,0
招聘：数控师傅x名，xxx，xxx，联系xxxxxxxxxxx，xxx。,1
【房xxxx】验证码4078，当日内有效。如非本人操作，回复TD退阅。09:37:53。,0
车辆的交通违法款项也正在追缴之中,0
纸袋碰腿北京2孕妇地铁内互殴[人民]-xxx冲浪助手:xxx,1
"?【xxx货币】尊敬的用户您好,您本次验证码为:617061。",0
钱，买多免多少少!法x莎，xx卫浴等可参加“送红包，抽大奖”活动。机不可失，失不再来！      祝您新年快乐，鸿运连连，财源滚滚,1
尊敬的客户：很荣幸为您05月22日10人14xxx。xxx：xxxxx、销售xxx：雷x、受理时间：2013-05-13。感谢您的信任，我们将尽快为您报价。如果您对我们的服务有任xxx，可以随时向xxx经理反馈。xxx经理：xxx 、手机：xxxxxxxxx。【汇xxx】,1
【xxxx回收】您的验证码是：492156，千万不要告诉他人！如非本人操作，请忽略此信息。,0
新年好，我是之前联系过你的小梁。本人专业xxx，信用卡等方面的业务，有这方面的需要或疑问尽管向我咨询，相信我的专业会帮到你和你身边的朋,1
【完美xx】您的验证码是253025。如非本人操作，请忽略本短信,0
【满租小xxx】★总价10xxx！★年稳收租超2万，买就收租！★全.产.权，5年可退！xxx【xxx】,1
姚xx因乳腺癌走了，这款产品却火了，每天只需xxx元，一年xxx元，就可以每一个女性获得xx万女性乳腺癌和妇科癌的保障，且每天补助xx元，投保年龄xx-xx岁。只要今年投保就可以自动续保到xx岁，中途不涨价。女性们三八前送自己一份关爱，男性们送身边女性一份关爱，xxx。,1
黄xx一行准备要实地考察了xxxxx有限公司、xx汽车客运站、xxx,0
小x美容养生馆喜迎妇女节，好礼赠佳人x.xx化妆品人民币尾数xx数字xxx可抵xxx元。xx全场x折优惠。xx第三款x折。xxx！限量防晒套盒特价套盒抢到赚到（x月x日～xx日）,1
【xx】您的验证码是 303384，10分xxx，请勿泄露。,0
温馨提示：截止07月25日19时，您当月3G主套餐内流量已使用270.02MB，剩余流量29.98MB，超出部分国内流量（不含港澳台）将按0.0003元/KB收费。xxx，建议您选购流量叠加包，当月申请立即生效，逐月自动续订。（发送LJKT3GLL，可了解套餐详情并完成订购）。 登录xx手机营业厅xxx，查询、交费、充值，方便又实惠!,0
"您成功报 名沈阳2013xxx「5月31-6月2 xx会展中心」凭短信送腕表,新车7折起,订车送厨电.车险7折xxx-xxxxxxx",1
女人帮，寻宝节，奔跑吧Ladies！你的优蕙你做主，x月x-x日黄金絻工费调换，x种珠宝优蕙xxx！xxx珠宝：xxxxxxx.,1
10-12日澳xx电动车超级换购价298、798元，引领夏季换购风暴，母亲节赠精美礼物！xxx【xx电动车】店xxxxxx【xxx】,1
"尊敬的炫铃用户，最新炫铃推荐:1 sorry,2 come back to me,3 会不会,4 无声占有,5 致青春,6 仙侠世界之错过,7 法海我不爱你(拨打试听下载）",1
xxx，本公司主营：新车销售 ·新车按揭·新车入户·二手车销售·评估收购·二手车按揭·汽车租赁·汽车精品·,1
【xxxx】你好，你的验证码是184991,0
predictionio去不了了,0
xx时迎“三八”关爱女性回馈活动，凡一次性付xxxxxxxx万，参加活动前三十名额外送xxx元代xxx，珍珠白光润面膜x并，漂亮女人,1
尊敬的会员朋友您好，xxx，幸福美满，阖家团圆，在此佳节之际，xx回馈会员朋友特献巨惠，新款春装满xxx元减xx元，,1
超级豪宅终耀xxx！人民公园南，60层超高摩天豪宅，顶级精装，2xxx/平，仅呈豫xxx！【华xxx】xxxx-xxxxxxx,1
xx平，项目自身x.x万方商业配套，均价xxxxx每平，足不出户尽享生活，诚邀您前来品鉴！         项目地址:xxxxxxx号,1
【xx】027440（xx登录验证码），此验证码只用于登录你的xx，提供给他人可能导致xx被盗，请勿转发。,0
"你竟然不认识xxx,他是英国17世纪著名的生理学家和医生",0
"【xx玩转】您的短信验证码是0472,若非本人发送，请忽略此短信,30分xxx",0
【xxxx】您的验证码：320907，您正进行身份验证，若非您本人操作，请及时修改密码。,0
【xxx】1346为您的登录验证码，请于1分xxx。如非本人操作，请忽略本短信。,0
【交xxx】您正在登录交xxx，验证码：063200，10分xxx。xxx，如非本人，请勿泄露！,0
寓，单价x.x万，总价xxxxx，买一层送一层。如果您有时间可以过来看看。到时候可以联系我，我提前安排接待您。,1
"【xxxx】您的短信验证码是1373,若非本人发送，请忽略此短信,30分xxx",0
您好，这里是做无抵押信用借款的，有需要资xxx，或是朋友，合伙人欠钱的都可以找我做贷款，帮您还，xxx，审批快，欢迎来电咨询:xxx,1
蜜感内衣为回馈新老xxx，蜜感亲情搜旧大行动以旧换新。送母亲！送老婆！送女友！xxxxx号x月x号。欢迎亲们来换购,1
飞机的滑行与制动要求轮胎具备良好的防水滑功能,0
爱孩子，就给妈妈喝徒河月子汤；爱妻子，就给产妇喝徒河月子汤。徒河月子汤精选名贵食材xxxxxx，催乳、补肾、美体、瘦身、营养。是国内唯一,1
三八魅力女人节，开心有礼美丽无价。女人花护肤名妆精心为您准备了多重豪礼，送给您最好的礼物，全场xx元起，期待您的光临！！！美丽热线：xxxxxxx,1
到官网投票internationalartist,0
感xxx：小顽童！地址：xxx，详询：xxxxxxx，主营：儿童摄影，优惠多多惊喜多多。[xxxxxxx],1
糖尿病、心脑血管病、肾病患者和刚剧烈运动完的人，都不是很建议马上坐下,0
"【xx转x】您的短信验证码是3079,若非本人发送，请忽略此短信,30分xxx",0
xx科技园稀缺红本厂房出售，面积3065平，地铁口，xxx，租约6个点。xxxxxxxxx,1
【x通知】您的验证码是190957，在2分钟内输入有效。如非本人操作请忽略此短信。,0
【xxx】您好，您的验证码是:657254，二十分xxx。,0
新年好!恭喜发财!央行降息了,1
又去了一次海陵岛不为什么就因为太美,0
【xx科技】599846xxx验证码，15分xxx，xxx，请勿告知他人。,0
有各行业（税—票)代办，需要请联系xxx，xxx，Q_xxxxxxxxx,1
睡觉前一顿180ml奶直到早上起床再喝一顿奶,0
5月26日株xxxxx拉响空“降”警报，总经理限时签售会，全系车型悦享百xxx，1.59超低利率。询：xxxxxxxxx【株洲xxxxx】,1
xxxExxxxxxx，陈先生您已购06月03日Dxxx次03车10C号大连北14:48开。请尽快换取纸质车票。【xxx】,0
深圳一电梯失控 女护士被诡异夹死-xxx,1
xxxxxxxxxxxxxx晏xx 农行xxxxxxxxxxxxxxxxxxxxxx 邮政xxxxxxxxxxxxxxxxxxx晏xx,1
我找真相的速度永远都比不过你们撕逼的速度,0
"你好，中x集团长期在本地发放小额贷款，免抵押，免担保，年息15， 当天办理可放款。联；xxx,xxx。",1
我是小张，xxxx，xx平xxx，紧邻xxx，截止x月x日前认购客户，老业主有额外奖励，新业主尊享额外xx折，快快告诉身边的朋友吧！,1
您好！ 我是刚和您通话的xxx经理：xxxx套xxx特权工程！x.像咱家一整套户型方案都给您,1
Your verification code: 1922,0
【xxx】您本次的验证码是：885028。3分xxx，请妥善保管!,0
，对应功能的API调用也将无法使用；资源使用（不包括控制台操作）不受影响。请留意您的业务情况，如有操作请避开升级时间进行，相关事宜做好,0
sc112002,0
【xxx通】尊敬的用户，您的手机验证码为：4605，此验证码五分xxx,0
xx空调“一晚一度电一年抢一回”存50xxxP冷暖1799更多惊喜xxx-xxxxx【xx】,1
大家可以去xxxxxx搜索下一堆,0
xx专业车贷，利息低，放款快，xxx，解决您资xxx。注：不押车，不过户，车可开走，最低利息⒏x厘起！咨询电话：xxxxxxxxxx,1
李xx妆品店联合花之韵品牌百万豪礼大放送！凡18-48岁女性凭本人身份证5月13一17日免费领取220ml采芝沐浴盐一瓶xxxxxxxxx,1
xxx…………5o号家的旁晚风光,0
05发生信用违规行为，信用分值有扣减。请登录xx推广账户查看更多信息,0
xxxx xxxx xxxx xxxx 招行 xxx,1
g#女”人如·花·花·似海，新·的一年，花·源充足，老朋友邀·您赏·花：xxxxxxxxxxx,1
明天去xxxxxxx南京科技馆，爸爸带你去涨知识,0
